ID,RecipeID,Weight,HopID,StepID
555,137,125,66,4
556,138,2.5,21,1
557,138,3.5,21,2
558,138,6,17,2
559,138,18.5,21,3
560,138,18.5,17,3
561,138,100,21,4
562,138,100,17,4
563,138,100,13,4
564,143,18.5,31,1
565,143,12.5,66,2
566,143,6,36,2
567,149,5,21,1
568,149,7.5,21,2
569,149,12.5,2,2
570,149,37.5,2,3
571,149,125,2,4
572,149,125,21,4
573,155,25,59,3
574,155,25,3,3
575,159,25,2,1
576,159,25,2,3
577,162,2.5,13,1
578,165,6,13,1
579,162,12.5,17,2
580,162,17.5,59,2
581,162,17.5,59,3
582,162,17.5,20,3
583,162,75,59,4
584,162,75,13,4
585,162,75,17,4
586,162,25,20,4
587,163,7.5,13,1
588,163,5,17,2
589,163,5,20,2
590,163,17.5,59,3
591,163,62.5,13,4
592,163,62.5,17,4
593,163,62.5,59,4
594,163,12.5,20,4
595,165,6,13,2
596,165,12.5,57,2
597,165,12.5,87,2
598,168,10.4,21,1
599,168,8.3000000000000007,13,2
600,168,8.3000000000000007,3,2
601,168,12.5,13,3
602,168,125,3,3
603,168,20.800000000000001,17,3
604,168,75,17,4
605,168,75,13,4
606,168,100,3,4
607,169,12.5,19,1
608,169,37.5,3,3
609,169,25,19,3
610,169,37.5,43,3
611,169,62.5,3,4
612,169,62.5,19,4
613,169,62.5,43,4
614,170,2.5,17,1
615,170,25,3,1
616,170,10,17,2
617,170,12.5,3,2
618,170,12.5,3,3
619,170,100,17,4
620,170,87.5,3,4
621,174,7.5,82,1
622,174,12.5,10,2
623,174,25,66,3
624,174,25,17,3
625,174,62.5,17,4
626,174,62.5,66,4
627,186,7.5,20,1
628,186,5,3,1
629,186,7.5,20,2
630,186,5,3,2
631,186,7.5,20,3
632,186,7.5,60,3
633,186,7.5,43,3
634,189,12.5,19,1
635,189,37.5,3,3
636,189,25,19,3
637,189,37.5,43,3
638,189,62.5,3,4
639,189,62.5,19,4
640,189,62.5,43,4
641,199,6.5,60,1
642,199,6.5,60,3
643,199,6.5,43,3
644,199,6.5,3,3
645,202,2.5,19,1
646,202,37.5,3,3
647,202,25,19,3
648,202,37.5,43,3
649,202,62.5,3,4
650,202,62.5,19,4
651,202,62.5,43,4
652,43,,0,0
653,206,47,21,1
654,206,25,59,3
655,206,25,17,3
656,206,25,21,4
657,206,37.5,59,4
658,206,12.5,20,4
659,210,12.5,59,1
660,210,19,59,2
661,210,12.5,59,3
662,210,12.5,3,3
663,210,12.5,20,3
664,210,62.5,59,4
665,210,62.5,3,4
666,210,62.5,20,4
667,213,25,17,1
668,213,21.25,13,3
669,213,21.25,66,3
670,215,2.5,27,1
671,215,10,27,2
672,215,37.5,27,3
673,217,3.75,59,1
674,217,12.5,59,2
675,217,37.5,59,3
676,217,187.5,59,4
677,221,10,10,1
678,228,3.75,19,1
679,228,12.5,19,2
680,228,37.5,19,3
681,228,187.5,19,4
682,232,3.75,20,1
683,232,12.5,20,2
684,232,37.5,20,3
685,232,187.5,20,4
686,234,,0,0
687,234,3.75,93,1
688,234,10,93,2
689,234,37.5,93,3
690,234,187.5,93,4
691,239,20,17,1
692,239,20,13,2
693,239,40,3,5
694,239,25,13,4
695,239,25,3,4
696,241,7,10,1
697,241,15,3,5
698,247,10,93,1
699,247,49,93,2
700,247,150,93,3
701,247,150,93,4
702,249,40,13,3
703,249,40,93,3
704,254,10,10,1
705,254,10,31,1
706,254,5,31,2
707,11,37.5,13,3
708,11,37.5,31,2
709,11,25,31,1
710,11,37.5,33,2
711,11,25,33,1
712,41,15,181,3
713,41,25,57,1
714,41,15,117,3
715,93,5,98,4
716,93,10,136,4
717,93,25,180,4
718,99,25,13,2
719,99,75,13,1
720,99,25,108,7
721,99,25,108,3
722,99,25,125,7
723,99,25,125,3
724,99,15,165,7
725,100,75,3,4
726,100,10,3,3
727,100,100,13,4
728,100,10,13,3
729,100,1.25,13,1
730,100,10,17,3
731,100,75,19,4
732,100,10,19,3
733,101,11.5,13,2
734,101,19.25,124,3
735,101,11.5,31,3
736,101,11.5,33,2
737,101,11.5,39,1
738,102,250,3,4
739,102,37.5,3,3
740,102,25,3,2
741,102,20,3,1
742,104,30,10,1
743,104,25,165,3
744,104,15,57,3
745,104,15,57,2
746,104,12.5,59,3
747,104,12.5,59,2
748,105,125,111,4
749,105,37.5,111,3
750,105,25,111,2
751,105,2.5,111,1
752,106,125,25,4
753,106,37.5,25,3
754,106,12.5,25,2
755,106,3.75,25,1
