ID,RecipeID,Weight,MaltGenericID,MaltID
3,11,0.25,19,69
4,3,4.0599999999999996,34,276
5,3,0.31,19,69
6,3,0.23000000000000001,28,70
7,3,0.094,32,73
8,4,5.3600000000000003,34,276
9,4,7.0999999999999994E-2,32,73
10,4,0.17999999999999999,15,174
11,4,0.54000000000000004,19,69
12,4,0.25,26,78
13,4,0.35999999999999999,64,81
14,4,0.54000000000000004,35,0
15,5,3.7799999999999998,34,276
16,5,0.31,19,69
17,5,0.31,40,65
18,6,4.5,34,276
19,6,0.55000000000000004,19,69
20,6,0.33000000000000002,40,65
21,6,1.3500000000000001,35,0
22,6,0.17999999999999999,13,176
23,6,0.33000000000000002,15,174
24,6,0.55000000000000004,29,71
25,2,4.3799999999999999,34,276
27,9,3.8500000000000001,38,57
30,10,4.0199999999999996,37,58
33,11,3.2999999999999998,37,58
34,11,0.20000000000000001,19,69
35,11,0.40000000000000002,40,65
38,1,5.2999999999999998,34,276
39,8,6.5,34,276
40,8,0.85999999999999999,19,69
41,8,0.5,40,65
42,8,2,35,0
43,8,0.85999999999999999,29,71
44,8,0.25,13,176
45,8,0.5,15,174
46,12,2.1600000000000001,34,276
47,12,0.63,64,81
48,12,0.31,27,71
50,12,0.19,53,266
52,12,0.13,10,179
54,13,5.7999999999999998,34,276
55,14,4.6600000000000001,36,63
58,15,3.25,37,58
59,15,0.20000000000000001,19,69
60,15,0.40000000000000002,40,65
62,16,4.5,34,276
63,16,0.5,40,65
64,16,5.0000000000000003E-2,4,75
65,16,8.0000000000000002E-2,29,71
66,17,8,34,276
68,18,1.1299999999999999,36,63
69,18,0.28000000000000003,19,69
70,18,2.7000000000000002,40,65
71,18,0.23000000000000001,26,78
72,19,2.5,64,81
73,19,2.0600000000000001,34,276
74,20,5,44,152
75,20,0.63,19,69
76,20,0.25,29,71
77,21,6.2999999999999998,34,276
78,21,0.38,19,69
79,21,0.28999999999999998,29,71
80,22,7.5,34,276
81,22,0.63,29,71
82,22,0.31,26,78
83,22,0.31,53,266
84,23,10,34,276
