ID,Name,BeerStylesID,Number,Source2,YeastID,ABV,IBU,OG,FG,EBC,HasAdjucts,MashTemp,MashTime,Fermentation,Description,Tips
1,Punk IPA 2007,68,1,DiyDog,55,6,60,1056,1010,17,N,65,75,19,"Our flagship beer that kick started
the craft beer revolution. This is
James and Martin's original take on
an American IPA, subverted with
punchy New Zealand hops.
Layered with new world hops to
create an all-out riot of grapefruit,
pineapple and lychee before a spiky,
mouth-puckering bitter finish.","While it may surprise you, this version of
Punk IPA isn't dry hopped but still packs
a punch! To make the best of the aroma
hops make sure they are fully submerged
and add them just before knock out for an
intense hop hit."
2,Punk IPA 2010,68,2,DiyDog,55,5.6,40,1053,1011,15,N,66,75,19,"Punk IPA. Amplified. In 2010
we finally got our paws on the
equipment we needed to dry hop
our beers. We focused all our energy
on dry hopping, amping up the
aroma and flavour of our flagship
beer to create a relentless explosion
of tropical fruits, and adding a hint
of Caramalt to balance out the
insane amount of hops.","To get the best possible profile from the
dry hops we recommend dry hopping post
fermentation for 5 days. Dry hops should
be added at cellar temperature. We find
151,#MASHTAG 2014,76,152,DiyDog,61,9,50,1084,1015,20,Y,65,75,21,NULL,NULL
152,DOG C,66,153,DiyDog,55,15,90,1120,1003,100,Y,65,75,19,NULL,NULL
153,HELLO MY NAME IS PÄIVI,75,154,DiyDog,61,8.3,70,1076,1013,30,Y,65,75,21,NULL,NULL
154,VOTE SEPP,85,155,DiyDog,57,3.6,30,1036,1009,8,Y,65,75,21,NULL,NULL
155,MAGIC STONE DOG (W/MAGIC ROCK & STONE BREWING CO.),68,156,DiyDog,52,4.6,30,1043,1008,15,N,65,75,23,NULL,NULL
156,RUSSIAN DOLL – BARLEY WINE,68,157,DiyDog,61,10,80,1097,1020,65,N,65,90,21,NULL,NULL
157,SUB HOP,18,158,DiyDog,49,8,35,1077,1016,15,N,65,75,9,NULL,NULL
158,U-BOAT (W/VICTORY BREWING) (Aged),113,159,DiyDog,49,8.4,50,1080,1015,200,N,65,75,14,NULL,NULL
159,AMERICAN WHEAT,4,160,DiyDog,51,4.5,17,1047,1013,10,N,64,90,21,NULL,NULL
160,CAP DOG (W/CAP BREWERY),70,161,DiyDog,61,9,80,1083,1012,180,Y,65,75,21,NULL,NULL
161,RUSSIAN DOLL – DOUBLE IPA,75,162,DiyDog,55,8,85,1074,1013,35,N,65,85,19,NULL,NULL
162,RUSSIAN DOLL – INDIA PALE ALE,68,163,DiyDog,55,6,70,1058,1012,25,N,65,75,19,NULL,NULL
163,RUSSIAN DOLL – PALE,61,164,DiyDog,55,4,35,1041,1010,45,N,65,75,19,NULL,NULL
164,THIS.IS.LAGER.,18,165,DiyDog,49,4.7,37,1043,1007,10,N,65,75,12,NULL,NULL
165,INDIA PALE WEIZEN (W/WEIHENSTEPHAN),31,166,DiyDog,56,6.2,50,1056,1010,35,N,65,75,21,NULL,NULL
