ID,RecipeID,Weight,HopID,StepID,HopTypeID
532,131,17.5,3,3,1
533,132,5,17,1,1
534,132,5,3,1,1
535,132,10,17,2,1
536,132,10,3,2,1
537,132,17.5,17,3,1
538,132,17.5,3,3,1
539,135,12.5,91,1,1
540,135,12.5,10,2,1
541,135,12.5,18,2,1
542,136,2.5,17,1,1
543,136,2.5,3,1,1
544,136,12.5,17,2,1
545,136,12.5,3,2,1
546,136,25,17,3,1
547,136,150,3,4,1
548,136,125,17,4,1
549,137,25,39,1,1
550,137,12.5,66,2,1
551,137,12.5,3,2,1
552,137,25,66,3,1
553,137,25,3,3,1
554,137,125,3,4,1
555,137,125,66,4,1
556,138,2.5,21,1,1
557,138,3.5,21,2,1
558,138,6,17,2,1
559,138,18.5,21,3,1
560,138,18.5,17,3,1
561,138,100,21,4,1
562,138,100,17,4,1
563,138,100,13,4,1
564,143,18.5,31,1,1
565,143,12.5,66,2,1
566,143,6,36,2,1
567,149,5,21,1,1
568,149,7.5,21,2,1
569,149,12.5,2,2,1
570,149,37.5,2,3,1
571,149,125,2,4,1
572,149,125,21,4,1
573,155,25,59,3,1
574,155,25,3,3,1
575,159,25,2,1,1
576,159,25,2,3,1
577,162,2.5,13,1,1
578,165,6,13,1,1
579,162,12.5,17,2,1
580,162,17.5,59,2,1
581,162,17.5,59,3,1
582,162,17.5,20,3,1
583,162,75,59,4,1
584,162,75,13,4,1
585,162,75,17,4,1
586,162,25,20,4,1
587,163,7.5,13,1,1
588,163,5,17,2,1
589,163,5,20,2,1
590,163,17.5,59,3,1
591,163,62.5,13,4,1
592,163,62.5,17,4,1
593,163,62.5,59,4,1
594,163,12.5,20,4,1
595,165,6,13,2,1
596,165,12.5,57,2,1
597,165,12.5,87,2,1
598,168,10.4,21,1,1
599,168,8.3,13,2,1
600,168,8.3,3,2,1
601,168,12.5,13,3,1
602,168,125,3,3,1
603,168,20.8,17,3,1
604,168,75,17,4,1
605,168,75,13,4,1
606,168,100,3,4,1
607,169,12.5,19,1,1
608,169,37.5,3,3,1
609,169,25,19,3,1
610,169,37.5,43,3,1
611,169,62.5,3,4,1
612,169,62.5,19,4,1
613,169,62.5,43,4,1
614,170,2.5,17,1,1
615,170,25,3,1,1
616,170,10,17,2,1
617,170,12.5,3,2,1
618,170,12.5,3,3,1
619,170,100,17,4,1
620,170,87.5,3,4,1
621,174,7.5,82,1,1
622,174,12.5,10,2,1
623,174,25,66,3,1
624,174,25,17,3,1
625,174,62.5,17,4,1
626,174,62.5,66,4,1
627,186,7.5,20,1,1
628,186,5,3,1,1
629,186,7.5,20,2,1
630,186,5,3,2,1
631,186,7.5,20,3,1
632,186,7.5,60,3,1
633,186,7.5,43,3,1
634,189,12.5,19,1,1
635,189,37.5,3,3,1
636,189,25,19,3,1
637,189,37.5,43,3,1
638,189,62.5,3,4,1
639,189,62.5,19,4,1
640,189,62.5,43,4,1
641,199,6.5,60,1,1
642,199,6.5,60,3,1
643,199,6.5,43,3,1
644,199,6.5,3,3,1
645,202,2.5,19,1,1
646,202,37.5,3,3,1
647,202,25,19,3,1
648,202,37.5,43,3,1
649,202,62.5,3,4,1
650,202,62.5,19,4,1
651,202,62.5,43,4,1
652,43,NULL,0,0,1
653,206,47,21,1,1
654,206,25,59,3,1
655,206,25,17,3,1
656,206,25,21,4,1
657,206,37.5,59,4,1
658,206,12.5,20,4,1
659,210,12.5,59,1,1
660,210,19,59,2,1
661,210,12.5,59,3,1
662,210,12.5,3,3,1
663,210,12.5,20,3,1
664,210,62.5,59,4,1
665,210,62.5,3,4,1
666,210,62.5,20,4,1
667,213,25,17,1,1
668,213,21.25,13,3,1
669,213,21.25,66,3,1
670,215,2.5,27,1,1
671,215,10,27,2,1
672,215,37.5,27,3,1
673,217,3.75,59,1,1
674,217,12.5,59,2,1
675,217,37.5,59,3,1
676,217,187.5,59,4,1
677,221,10,10,1,1
678,228,3.75,19,1,1
679,228,12.5,19,2,1
680,228,37.5,19,3,1
681,228,187.5,19,4,1
682,232,3.75,20,1,1
683,232,12.5,20,2,1
684,232,37.5,20,3,1
685,232,187.5,20,4,1
686,234,NULL,0,0,1
687,234,3.75,93,1,1
688,234,10,93,2,1
689,234,37.5,93,3,1
690,234,187.5,93,4,1
691,239,20,17,1,1
692,239,20,13,2,1
693,239,40,3,5,1
694,239,25,13,4,1
695,239,25,3,4,1
696,241,7,10,1,1
697,241,15,3,5,1
698,247,10,93,1,1
699,247,49,93,2,1
700,247,150,93,3,1
701,247,150,93,4,1
702,249,40,13,3,1
703,249,40,93,3,1
704,254,10,10,1,1
705,254,10,31,1,1
706,254,5,31,2,1
707,11,37.5,13,3,1
708,11,37.5,31,2,1
709,11,25,31,1,1
710,11,37.5,33,2,1
711,11,25,33,1,1
713,41,25,57,1,1
714,41,15,117,3,1
718,99,25,13,2,1
719,99,75,13,1,1
725,100,75,3,4,1
726,100,10,3,3,1
727,100,100,13,4,1
728,100,10,13,3,1
729,100,1.25,13,1,1
730,100,10,17,3,1
731,100,75,19,4,1
732,100,10,19,3,1
733,101,11.5,13,2,1
735,101,11.5,31,3,1
736,101,11.5,33,2,1
737,101,11.5,39,1,1
738,102,250,3,4,1
739,102,37.5,3,3,1
740,102,25,3,2,1
741,102,20,3,1,1
742,104,30,10,1,1
744,104,15,57,3,1
745,104,15,57,2,1
746,104,12.5,59,3,1
747,104,12.5,59,2,1
748,105,125,111,4,1
749,105,37.5,111,3,1
750,105,25,111,2,1
751,105,2.5,111,1,1
752,106,125,25,4,1
753,106,37.5,25,3,1
754,106,12.5,25,2,1
755,106,3.75,25,1,1
756,107,125,113,4,1
757,107,37.5,113,3,1
758,107,25,113,2,1
